CATEGORIE,EPREUVE,PERFORMANCE,POINTS,UNITE
POF,vitesse,6.4,26,s
POF,vitesse,6.75,24,s
POF,vitesse,7,22,s
POF,vitesse,7.3,20,s
POF,vitesse,7.65,18,s
POF,vitesse,8,16,s
POF,vitesse,8.5,14,s
POF,vitesse,9,12,s
POF,vitesse,9.5,10,s
POF,vitesse,10,8,s
POF,vitesse,10.5,6,s
POF,vitesse,11,4,s
POF,vitesse,11.5,2,s
POF,haies,5.8,60,s
POF,haies,6,57,s
POF,haies,6.2,54,s
POF,haies,6.45,51,s
POF,haies,6.7,48,s
POF,haies,6.95,45,s
POF,haies,7.2,42,s
POF,haies,7.5,39,s
POF,haies,7.8,36,s
POF,haies,8.2,33,s
POF,haies,8.6,30,s
POF,haies,9.05,27,s
POF,haies,9.5,24,s
POF,haies,9.8,21,s
POF,haies,10.1,18,s
POF,haies,10.5,15,s
POF,haies,10.9,12,s
POF,haies,11.3,9,s
POF,haies,11.7,6,s
POF,haies,12.2,3,s
POF,lancé,11,50,m
POF,lancé,10.2,47.5,m
POF,lancé,9.5,45,m
POF,lancé,9.1,42.5,m
POF,lancé,8.7,40,m
POF,lancé,8.1,37.5,m
POF,lancé,7.5,35,m
POF,lancé,7,32.5,m
POF,lancé,6.5,30,m
POF,lancé,5.8,27.5,m
POF,lancé,5.1,25,m
POF,lancé,4.7,22.5,m
POF,lancé,4.3,20,m
POF,lancé,3.9,17.5,m
POF,lancé,3.5,15,m
POF,lancé,3.1,12.5,m
POF,lancé,2.7,10,m
POF,lancé,2.3,7.5,m
POF,lancé,1.9,5,m
POF,lancé,1.5,2.5,m
POF,pentabond,11.3,50,m
POF,pentabond,10.9,47.5,m
POF,pentabond,10.5,45,m
POF,pentabond,10.15,42.5,m
POF,pentabond,9.8,40,m
POF,pentabond,9.5,37.5,m
POF,pentabond,9.2,35,m
POF,pentabond,8.75,32.5,m
POF,pentabond,8.3,30,m
POF,pentabond,7.95,27.5,m
POF,pentabond,7.6,25,m
POF,pentabond,7.2,22.5,m
POF,pentabond,6.8,20,m
POF,pentabond,6.4,17.5,m
POF,pentabond,6,15,m
POF,pentabond,5.6,12.5,m
POF,pentabond,5.2,10,m
POF,pentabond,4.8,7.5,m
POF,pentabond,4.4,5,m
POF,pentabond,4,2.5,m
POM,vitesse,4.7,40,s
POM,vitesse,4.85,38,s
POM,vitesse,5,36,s
POM,vitesse,5.2,34,s
POM,vitesse,5.45,32,s
POM,vitesse,5.65,30,s
POM,vitesse,5.9,28,s
POM,vitesse,6.2,26,s
POM,vitesse,6.55,24,s
POM,vitesse,6.8,22,s
POM,vitesse,7.1,20,s
POM,vitesse,7.45,18,s
POM,vitesse,7.8,16,s
POM,vitesse,8.3,14,s
POM,vitesse,8.8,12,s
POM,vitesse,9.3,10,s
POM,vitesse,9.8,8,s
POM,vitesse,10.3,6,s
POM,vitesse,10.8,4,s
POM,vitesse,11.3,2,s
POM,haies,5.5,60,s
POM,haies,5.65,57,s
POM,haies,5.8,54,s
POM,haies,6.05,51,s
POM,haies,6.3,48,s
POM,haies,6.55,45,s
POM,haies,6.8,42,s
POM,haies,7.1,39,s
POM,haies,7.4,36,s
POM,haies,7.8,33,s
POM,haies,8.2,30,s
POM,haies,8.6,27,s
POM,haies,9,24,s
POM,haies,9.3,21,s
POM,haies,9.6,18,s
POM,haies,10,15,s
POM,haies,10.4,12,s
POM,haies,10.8,9,s
POM,haies,11.2,6,s
POM,haies,11.7,3,s
POM,lancé,12,50,m
POM,lancé,11,47.5,m
POM,lancé,10,45,m
POM,lancé,9.6,42.5,m
POM,lancé,9.2,40,m
POM,lancé,8.6,37.5,m
POM,lancé,8,35,m
POM,lancé,7.5,32.5,m
POM,lancé,7,30,m
POM,lancé,6.3,27.5,m
POM,lancé,5.6,25,m
POM,lancé,5.2,22.5,m
POM,lancé,4.8,20,m
POM,lancé,4.4,17.5,m
POM,lancé,4,15,m
POM,lancé,3.6,12.5,m
POM,lancé,3.2,10,m
POM,lancé,2.8,7.5,m
POM,lancé,2.4,5,m
POM,lancé,2,2.5,m
POM,pentabond,12.6,50,m
POM,pentabond,12.1,47.5,m
POM,pentabond,11.6,45,m
POM,pentabond,11.15,42.5,m
POM,pentabond,10.7,40,m
POM,pentabond,10.4,37.5,m
POM,pentabond,10.1,35,m
POM,pentabond,9.5,32.5,m
POM,pentabond,8.9,30,m
POM,pentabond,8.5,27.5,m
POM,pentabond,8.1,25,m
POM,pentabond,7.7,22.5,m
POM,pentabond,7.3,20,m
POM,pentabond,6.9,17.5,m
POM,pentabond,6.5,15,m
POM,pentabond,6.1,12.5,m
POM,pentabond,5.7,10,m
POM,pentabond,5.3,7.5,m
POM,pentabond,4.9,5,m
POM,pentabond,4.5,2.5,m
